Tieu_de,gia,Tinh_trang,Km_da_di,Hop_so,Nhien_lieu,Nguoi_ban,Dong_xe,Nam_san_xuat,Dan_dong,Mau_xe,Xuat_xu,Link_image
Xe Mới Hyundai Mighty N250 2018,440 triệu,Mới,0 km,Số sàn,Dầu,Cá nhân,Xe tải,2018,RWD: Cầu sau,Trắng,Nhập khẩu,"['https://choxe.net/uploads/auto/201904/304101/936x624-gallery5ca56c5906b16.jpg', 'https://choxe.net/uploads/auto/201904/304101/936x624-gallery5ca56c5906dd9.jpg', 'https://choxe.net/uploads/auto/201904/304101/936x624-gallery5ca56c59070bb.jpg', 'https://choxe.net/uploads/auto/201904/304101/936x624-gallery5ca56c59067d0.jpg', 'https://choxe.net/uploads/auto/201904/304101/936x624-gallery5ca56c59072ea.jpg']"
Xe Mới Hyundai Porter H150 2018,370 triệu,Mới,0 km,Số sàn,Dầu,Cá nhân,Xe tải,2018,RWD: Cầu sau,Trắng,Trong nước,"['https://choxe.net/uploads/auto/201904/304099/936x624-gallery5ca56b8c7299c.jpg', 'https://choxe.net/uploads/auto/201904/304099/936x624-gallery5ca56b8c73066.jpg', 'https://choxe.net/uploads/auto/201904/304099/936x624-gallery5ca56b8c72ae3.jpg', 'https://choxe.net/uploads/auto/201904/304099/936x624-gallery5ca56b8c72ee2.jpg']"
Xe Mới Toyota Vios MT 2019,521 triệu,Mới,5 km,Số sàn,Xăng,Cá nhân,Sedan,2019,FWD: Cầu trước,Bạc,Trong nước,"['https://choxe.net/uploads/auto/201904/303989/936x624-gallery5ca467e485981.jpg', 'https://choxe.net/uploads/auto/201904/303989/936x624-gallery5ca467e485f59.jpg', 'https://choxe.net/uploads/auto/201904/303989/936x624-gallery5ca467e48658a.jpg', 'https://choxe.net/uploads/auto/201904/303989/936x624-gallery5ca467e485572.jpg', 'https://choxe.net/uploads/auto/201904/303989/936x624-gallery5ca467e48578c.jpg', 'https://choxe.net/uploads/auto/201904/303989/936x624-gallery5ca467e48534f.jpg']"
Xe Mới Ford EcoSport 1.5 MT 2018,545 triệu,Mới,0 km,Số sàn,Xăng,Cá nhân,SUV,2018,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.net/uploads/auto/201904/303988/936x624-gallery5ca46a3e9b8d0.jpg', 'https://choxe.net/uploads/auto/201904/303988/936x624-gallery5ca46a3e9c4bc.jpg', 'https://choxe.net/uploads/auto/201904/303988/936x624-gallery5ca46a3e988dc.jpg', 'https://choxe.net/uploads/auto/201904/303988/936x624-gallery5ca46a3e9a070.jpg', 'https://choxe.net/uploads/auto/201904/303988/936x624-gallery5ca46a3e9d2c3.jpg', 'https://choxe.net/uploads/auto/201904/303988/936x624-gallery5ca46a3e994e2.jpg', 'https://choxe.net/uploads/auto/201904/303988/936x624-gallery5ca46a3e9ac16.jpg']"
Xe Mới Hyundai HD 2.5T 2018,449 triệu,Mới,0 km,Số sàn,Dầu,Cá nhân,Xe tải,2018,RWD: Cầu sau,Trắng,Nhập khẩu,"['https://choxe.net/uploads/auto/201904/303987/936x624-gallery5ca465c2e141d.jpg', 'https://choxe.net/uploads/auto/201904/303987/936x624-gallery5ca465c2e0cdf.jpg', 'https://choxe.net/uploads/auto/201904/303987/936x624-gallery5ca465c2e042e.jpg', 'https://choxe.net/uploads/auto/201904/303987/936x624-gallery5ca465c2def59.jpg', 'https://choxe.net/uploads/auto/201904/303987/936x624-gallery5ca465c2dfd13.jpg', 'https://choxe.net/uploads/auto/201904/303987/936x624-gallery5ca465c2df5a9.jpg']"
Xe Mới Hyundai Mighty N250 2018,435 triệu,Mới,0 km,Số sàn,Dầu,Cá nhân,Xe tải,2018,RWD: Cầu sau,Trắng,Nhập khẩu,"['https://choxe.net/uploads/auto/201904/303983/936x624-gallery5ca462e5f2504.jpg', 'https://choxe.net/uploads/auto/201904/303983/936x624-gallery5ca462e5f23ce.jpg', 'https://choxe.net/uploads/auto/201904/303983/936x624-gallery5ca46306c4864.jpg', 'https://choxe.net/uploads/auto/201904/303983/936x624-gallery5ca462e5f22a7.jpg']"
Xe Mới TMT Xe Tải 1.2T 2019,70 triệu,Mới,0 km,Số sàn,Dầu,Cá nhân,Xe tải,2019,RWD: Cầu sau,Xanh,Nhập khẩu,"['https://choxe.net/uploads/auto/201904/303980/936x624-gallery5ca45637aca79.jpg', 'https://choxe.net/uploads/auto/201904/303980/936x624-gallery5ca4562cc6f61.jpg', 'https://choxe.net/uploads/auto/201904/303980/936x624-gallery5ca4562cc7436.jpg', 'https://choxe.net/uploads/auto/201904/303980/936x624-gallery5ca4562cc791a.jpg']"
Xe Mới Toyota Innova 2.0E 2019,741 triệu,Mới,0 km,Số sàn,Xăng,Cá nhân,MPV,2019,RWD: Cầu sau,Xám,Trong nước,"['https://choxe.net/uploads/auto/201904/303976/936x624-gallery5ca45884dc75c.jpg', 'https://choxe.net/uploads/auto/201904/303976/936x624-gallery5ca45884dc96d.jpg', 'https://choxe.net/uploads/auto/201904/303976/936x624-gallery5ca45884dcb6c.jpg', 'https://choxe.net/uploads/auto/201904/303976/936x624-gallery5ca45884dccf2.jpg', 'https://choxe.net/uploads/auto/201904/303976/936x624-gallery5ca45884dce67.jpg', 'https://choxe.net/uploads/auto/201904/303976/936x624-gallery5ca45884dcfc8.jpg']"
Xe Mới Honda City Top 2019,589 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,Sedan,2019,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.net/uploads/auto/201904/303975/936x624-gallery5ca45244b7534.jpg', 'https://choxe.net/uploads/auto/201904/303975/936x624-gallery5ca45244b727a.jpg', 'https://choxe.net/uploads/auto/201904/303975/936x624-gallery5ca4528684854.jpg', 'https://choxe.net/uploads/auto/201904/303975/936x624-gallery5ca45244b7410.jpg', 'https://choxe.net/uploads/auto/201904/303975/936x624-gallery5ca45244b7634.jpg']"
Xe Mới Isuzu Q-series QKR77FE4 2019,484 triệu,Mới,0 km,Số sàn,Dầu,Cá nhân,Xe tải,2019,RWD: Cầu sau,Trắng,Nhập khẩu,"['https://choxe.net/uploads/auto/201904/303972/936x624-gallery5ca43eab793e3.jpg', 'https://choxe.net/uploads/auto/201904/303972/936x624-gallery5ca43eab78fe0.jpg', 'https://choxe.net/uploads/auto/201904/303972/936x624-gallery5ca43eab79232.jpg', 'https://choxe.net/uploads/auto/201904/303972/936x624-gallery5ca43eab795de.jpg', 'https://choxe.net/uploads/auto/201904/303972/936x624-gallery5ca43eab797ef.jpg']"
Xe Mới Mazda 2 1.5 L 2019,589 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,Hatchback,2019,FWD: Cầu trước,Đỏ,Nhập khẩu,"['https://choxe.net/uploads/auto/201904/303962/936x624-gallery5ca4308458610.jpg', 'https://choxe.net/uploads/auto/201904/303962/936x624-gallery5ca43084588a0.jpg', 'https://choxe.net/uploads/auto/201904/303962/936x624-gallery5ca4308458a94.jpg', 'https://choxe.net/uploads/auto/201904/303962/936x624-gallery5ca4308458cae.jpg', 'https://choxe.net/uploads/auto/201904/303962/936x624-gallery5ca4308458eb7.jpg']"
Xe Mới Mercedes-Benz C C300 2018,1.82 tỷ ,Mới,10 km,Số tự động,Xăng,Đại lý,Sedan,2018,RWD: Cầu sau,Đen,Trong nước,"['https://choxe.net/uploads/auto/201904/303956/936x624-gallery5ca4267a4d675.jpg', 'https://choxe.net/uploads/auto/201904/303956/936x624-gallery5ca4267a4d888.jpg', 'https://choxe.net/uploads/auto/201904/303956/936x624-gallery5ca4267a4da2a.jpg', 'https://choxe.net/uploads/auto/201904/303956/936x624-gallery5ca4267a4db73.jpg', 'https://choxe.net/uploads/auto/201904/303956/936x624-gallery5ca4267a4dd19.jpg', 'https://choxe.net/uploads/auto/201904/303956/936x624-gallery5ca4267a4de6a.jpg', 'https://choxe.net/uploads/auto/201904/303956/936x624-gallery5ca4267a4dfba.jpg', 'https://choxe.net/uploads/auto/201904/303956/936x624-gallery5ca4267a4e161.jpg']"
Xe Mới Ford Ranger RAPTOR 2018,1.198 tỷ ,Mới,0 km,Số tự động,Dầu,Cá nhân,Xe Bán tải,2018,4WD: 4 bánh,Trắng,Nhập khẩu,"['https://choxe.net/uploads/auto/201904/303952/936x624-gallery5ca427f4e2731.jpg', 'https://choxe.net/uploads/auto/201904/303952/936x624-gallery5ca427f4e17a9.jpg', 'https://choxe.net/uploads/auto/201904/303952/936x624-gallery5ca427f4e1a77.jpg', 'https://choxe.net/uploads/auto/201904/303952/936x624-gallery5ca427f4e1cfb.jpg', 'https://choxe.net/uploads/auto/201904/303952/936x624-gallery5ca427f4e1ffa.jpg', 'https://choxe.net/uploads/auto/201904/303952/936x624-gallery5ca427f4e243b.jpg']"
Xe Mới HOWO Ben ZZ3315N325WE1 2019,1.468 tỷ ,Mới,0 km,Số sàn,Dầu,Cá nhân,Xe tải,2019,4WD: 4 bánh,Nâu,Nhập khẩu,"['https://choxe.net/uploads/auto/201904/303929/936x624-gallery5ca412e615c64.jpg', 'https://choxe.net/uploads/auto/201904/303929/936x624-gallery5ca412e61664d.jpg', 'https://choxe.net/uploads/auto/201904/303929/936x624-gallery5ca412e6153ca.jpg', 'https://choxe.net/uploads/auto/201904/303929/936x624-gallery5ca412e613887.jpg', 'https://choxe.net/uploads/auto/201904/303929/936x624-gallery5ca412e614abe.jpg', 'https://choxe.net/uploads/auto/201904/303929/936x624-gallery5ca412e613cf1.jpg', 'https://choxe.net/uploads/auto/201904/303929/936x624-gallery5ca412e61436f.jpg', 'https://choxe.net/uploads/auto/201904/303929/936x624-gallery5ca412e616fef.jpg', 'https://choxe.net/uploads/auto/201904/303929/936x624-gallery5ca412e6134e6.jpg']"
Xe Mới Honda City AT 2019,559 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,Sedan,2019,FWD: Cầu trước,Bạc,Trong nước,"['https://choxe.net/uploads/auto/201904/303867/936x624-gallery5ca318d6dda67.jpg', 'https://choxe.net/uploads/auto/201904/303867/936x624-gallery5ca318d6deda8.jpg', 'https://choxe.net/uploads/auto/201904/303867/936x624-gallery5ca318d6de712.jpg', 'https://choxe.net/uploads/auto/201904/303867/936x624-gallery5ca318d6dd858.jpg', 'https://choxe.net/uploads/auto/201904/303867/936x624-gallery5ca318d6ddcef.jpg', 'https://choxe.net/uploads/auto/201904/303867/936x624-gallery5ca318d6ddf84.jpg']"
Xe Mới KIA Cerato 1.6AT 2019,635 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,Sedan,2019,FWD: Cầu trước,Xám bạc,Trong nước,"['https://choxe.net/uploads/auto/201904/303847/936x624-gallery5ca310efe3600.jpg', 'https://choxe.net/uploads/auto/201904/303847/936x624-gallery5ca310efe2dc4.jpg', 'https://choxe.net/uploads/auto/201904/303847/936x624-gallery5ca310efe3429.jpg', 'https://choxe.net/uploads/auto/201904/303847/936x624-gallery5ca310efe2bcc.jpg', 'https://choxe.net/uploads/auto/201904/303847/936x624-gallery5ca310efe2f6f.jpg', 'https://choxe.net/uploads/auto/201904/303847/936x624-gallery5ca310efe31d7.jpg']"
Xe Mới Honda City 1.5 2019,559 triệu,Mới,0 km,Số tự động,Xăng,Đại lý,Sedan,2019,FWD: Cầu trước,Đỏ,Trong nước,"['https://choxe.net/uploads/auto/201904/303844/936x624-gallery5ca303bd0ae23.jpg', 'https://choxe.net/uploads/auto/201904/303844/936x624-gallery5ca303bd0b40f.jpg', 'https://choxe.net/uploads/auto/201904/303844/936x624-gallery5ca303bd0a9f0.jpg', 'https://choxe.net/uploads/auto/201904/303844/936x624-gallery5ca303bd0abda.jpg', 'https://choxe.net/uploads/auto/201904/303844/936x624-gallery5ca303bd0af7f.jpg', 'https://choxe.net/uploads/auto/201904/303844/936x624-gallery5ca303bd0b1dc.jpg', 'https://choxe.net/uploads/auto/201904/303844/936x624-gallery5ca303bd0b5c1.jpg', 'https://choxe.net/uploads/auto/201904/303844/936x624-gallery5ca303bd0b9ca.jpg']"
Xe Mới Hyundai Xe Du Lịch Solati H350 2018,1.025 tỷ ,Mới,0 km,Số sàn,Dầu,Cá nhân,Van/Minivan,2018,RWD: Cầu sau,Đen,Nhập khẩu,"['https://choxe.net/uploads/auto/201904/303834/936x624-gallery5ca2daa99bd63.jpg', 'https://choxe.net/uploads/auto/201904/303834/936x624-gallery5ca2daa99c699.jpg', 'https://choxe.net/uploads/auto/201904/303834/936x624-gallery5ca2daa99ca3c.jpg', 'https://choxe.net/uploads/auto/201904/303834/936x624-gallery5ca2daa99b551.jpg', 'https://choxe.net/uploads/auto/201904/303834/936x624-gallery5ca2daa99ade5.jpg', 'https://choxe.net/uploads/auto/201904/303834/936x624-gallery5ca2daa99b135.jpg', 'https://choxe.net/uploads/auto/201904/303834/936x624-gallery5ca2daa99b92e.jpg', 'https://choxe.net/uploads/auto/201904/303834/936x624-gallery5ca2daa99c1c5.jpg', 'https://choxe.net/uploads/auto/201904/303834/936x624-gallery5ca2daa99d2a1.jpg', 'https://choxe.net/uploads/auto/201904/303834/936x624-gallery5ca2daa99d7fb.jpg']"
Xe Mới Hyundai Tucson 1.6 Turbo 2019,882 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,SUV,2019,4WD: 4 bánh,Nâu,Trong nước,"['https://choxe.net/uploads/auto/201904/303827/936x624-gallery5ca2d6acda392.jpg', 'https://choxe.net/uploads/auto/201904/303827/936x624-gallery5ca2d6acdbbe7.jpg', 'https://choxe.net/uploads/auto/201904/303827/936x624-gallery5ca2d6acd99b4.jpg', 'https://choxe.net/uploads/auto/201904/303827/936x624-gallery5ca2d6acdafa3.jpg', 'https://choxe.net/uploads/auto/201904/303827/936x624-gallery5ca2d6acd8f66.jpg']"
Xe Mới Mazda 3 1.5L 2019,669 triệu,Mới,5 km,Số tự động,Xăng,Cá nhân,Sedan,2019,FWD: Cầu trước,Bạc,Trong nước,"['https://choxe.net/uploads/auto/201904/gallery/936x624-IMG_5521.JPG', 'https://choxe.net/uploads/auto/201904/gallery/936x624-IMG_55161.JPG', 'https://choxe.net/uploads/auto/201904/gallery/936x624-IMG_5525.JPG', 'https://choxe.net/uploads/auto/201904/gallery/936x624-IMG_5522.JPG', 'https://choxe.net/uploads/auto/201904/gallery/936x624-IMG_5523.JPG', 'https://choxe.net/uploads/auto/201904/gallery/936x624-IMG_5524.JPG']"
Xe Mới Mazda CX-5 2.0 2019,899 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,SUV,2019,FWD: Cầu trước,Đỏ,Trong nước,"['https://choxe.net/uploads/auto/201904/303711/936x624-gallery5ca2057c75daa.jpg', 'https://choxe.net/uploads/auto/201904/303711/936x624-gallery5ca2057c75c34.jpg', 'https://choxe.net/uploads/auto/201904/303711/936x624-gallery5ca2057c7566d.jpg', 'https://choxe.net/uploads/auto/201904/303711/936x624-gallery5ca2057c7597d.jpg', 'https://choxe.net/uploads/auto/201904/303711/936x624-gallery5ca2057c75ae4.jpg', 'https://choxe.net/uploads/auto/201904/303711/936x624-gallery5ca2057c7543a.jpg', 'https://choxe.net/uploads/auto/201904/303711/936x624-gallery5ca2057c757bd.jpg', 'https://choxe.net/uploads/auto/201904/303711/936x624-gallery5ca2057c75efe.jpg']"
Xe Mới Peugeot 3008 1.6 Turbo 2019,1.199 tỷ ,Mới,0 km,Số tự động,Xăng,Cá nhân,SUV,2019,FWD: Cầu trước,Đen,Trong nước,"['https://choxe.net/uploads/auto/201904/303694/936x624-gallery5ca1c14a0b8fc.jpg', 'https://choxe.net/uploads/auto/201904/303694/936x624-gallery5ca1c14a0e017.jpg', 'https://choxe.net/uploads/auto/201904/303694/936x624-gallery5ca1c14a0f507.jpg', 'https://choxe.net/uploads/auto/201904/303694/936x624-gallery5ca1c14a0cb56.jpg', 'https://choxe.net/uploads/auto/201904/303694/936x624-gallery5ca1c14a10628.jpg']"
Xe Mới Toyota Fortuner G 2019,1.026 tỷ ,Mới,0 km,Số sàn,Dầu,Cá nhân,SUV,2019,RWD: Cầu sau,Nâu,Nhập khẩu,"['https://choxe.net/uploads/auto/201904/303691/936x624-gallery5ca1b3a20a51f.jpg', 'https://choxe.net/uploads/auto/201904/303691/936x624-gallery5ca1b3a208881.jpg', 'https://choxe.net/uploads/auto/201904/303691/936x624-gallery5ca1b3a20b0b8.jpg', 'https://choxe.net/uploads/auto/201904/303691/936x624-gallery5ca1b3a20db5f.jpg', 'https://choxe.net/uploads/auto/201904/303691/936x624-gallery5ca1b3a20999f.jpg']"
Xe Mới Hyundai IZ49 2.3T 2018,382 triệu,Mới,0 km,Số sàn,Dầu,Cá nhân,Xe tải,2018,RWD: Cầu sau,Xanh,Nhập khẩu,"['https://choxe.net/uploads/auto/201904/303687/936x624-gallery5ca1b26ec14b6.jpg', 'https://choxe.net/uploads/auto/201904/303687/936x624-gallery5ca1b29545317.jpg', 'https://choxe.net/uploads/auto/201904/303687/936x624-gallery5ca1b26ec0ddf.jpg', 'https://choxe.net/uploads/auto/201904/303687/936x624-gallery5ca1b26ec20f5.jpg', 'https://choxe.net/uploads/auto/201904/303687/936x624-gallery5ca1b26ec2346.jpg']"
Xe Mới Mazda BT-50 2.2L 2018,585 triệu,Mới,0 km,Số tự động,Dầu,Đại lý,Xe Bán tải,2018,RWD: Cầu sau,Xám,Nhập khẩu,"['https://choxe.net/uploads/auto/201904/303684/936x624-gallery5ca1a2b32a2b7.jpg', 'https://choxe.net/uploads/auto/201904/303684/936x624-gallery5ca1a2b328702.jpg', 'https://choxe.net/uploads/auto/201904/303684/936x624-gallery5ca1a2b328e3d.jpg', 'https://choxe.net/uploads/auto/201904/303684/936x624-gallery5ca1a2b3294f0.jpg', 'https://choxe.net/uploads/auto/201904/303684/936x624-gallery5ca1a2b329b87.jpg']"
Xe Mới Ford EcoSport Titanium 1.5L 2019,635 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,SUV,2019,FWD: Cầu trước,Bạc,Trong nước,"['https://choxe.net/uploads/auto/201904/303679/936x624-gallery5ca1956d2044a.jpg', 'https://choxe.net/uploads/auto/201904/303679/936x624-gallery5ca1956d200d9.jpg', 'https://choxe.net/uploads/auto/201904/303679/936x624-gallery5ca1956d20803.jpg', 'https://choxe.net/uploads/auto/201904/303679/936x624-gallery5ca1956d1fe40.jpg', 'https://choxe.net/uploads/auto/201904/303679/936x624-gallery5ca1956d20c1d.jpg']"
Xe Mới Hyundai Elantra 1.6 AT 2019,580 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,Sedan,2019,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.net/uploads/auto/201904/303678/936x624-gallery5ca195e88f42d.jpg', 'https://choxe.net/uploads/auto/201904/303678/936x624-gallery5ca195e88edfb.jpg', 'https://choxe.net/uploads/auto/201904/303678/936x624-gallery5ca195e88f9f5.jpg', 'https://choxe.net/uploads/auto/201904/303678/936x624-gallery5ca195e88ffee.jpg']"
Xe Mới BMW 5 530i Luxury Line 2018,3.069 tỷ ,Mới,0 km,Số tự động,Xăng,Cá nhân,Sedan,2018,RWD: Cầu sau,Trắng,Nhập khẩu,"['https://choxe.net/uploads/auto/201904/303676/936x624-gallery5ca192463f218.jpg', 'https://choxe.net/uploads/auto/201904/303676/936x624-gallery5ca192463e0d0.jpg', 'https://choxe.net/uploads/auto/201904/303676/936x624-gallery5ca1924640203.jpg', 'https://choxe.net/uploads/auto/201904/303676/936x624-gallery5ca192464128c.jpg', 'https://choxe.net/uploads/auto/201904/303676/936x624-gallery5ca19246423ff.jpg', 'https://choxe.net/uploads/auto/201904/303676/936x624-gallery5ca1924643978.jpg', 'https://choxe.net/uploads/auto/201904/303676/936x624-gallery5ca19246452d0.jpg', 'https://choxe.net/uploads/auto/201904/303676/936x624-gallery5ca1924646d11.jpg', 'https://choxe.net/uploads/auto/201904/303676/936x624-gallery5ca19246489aa.jpg', 'https://choxe.net/uploads/auto/201904/303676/936x624-gallery5ca192464a123.jpg']"
Xe Mới Ford EcoSport 1.5L Titanium 2019,635 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,SUV,2019,FWD: Cầu trước,Bạc,Trong nước,"['https://choxe.net/uploads/auto/201904/303675/936x624-gallery5ca18e1e53853.jpg', 'https://choxe.net/uploads/auto/201904/303675/936x624-gallery5ca18e1e54c68.jpg', 'https://choxe.net/uploads/auto/201904/303675/936x624-gallery5ca18e1e5432a.jpg', 'https://choxe.net/uploads/auto/201904/303675/936x624-gallery5ca18e1e53fc6.jpg', 'https://choxe.net/uploads/auto/201904/303675/936x624-gallery5ca18e1e54791.jpg']"
Xe Mới Ford EcoSport Titanium 2019,648 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,SUV,2019,FWD: Cầu trước,Xám,Trong nước,"['https://choxe.net/uploads/auto/201904/303673/936x624-gallery5ca18726ec848.jpg', 'https://choxe.net/uploads/auto/201904/303673/936x624-gallery5ca18741a5f59.jpg', 'https://choxe.net/uploads/auto/201904/303673/936x624-gallery5ca18741a5a4a.jpg', 'https://choxe.net/uploads/auto/201904/303673/936x624-gallery5ca18726ed911.jpg', 'https://choxe.net/uploads/auto/201904/303673/936x624-gallery5ca18726ed1c8.jpg']"
Xe Mới Mazda CX-5 2.5 2WD 2019,999 triệu,Mới,10 km,Số tự động,Xăng,Cá nhân,SUV,2019,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.net/uploads/auto/201904/303671/936x624-gallery5ca17f9ec44fb.jpg', 'https://choxe.net/uploads/auto/201904/303671/936x624-gallery5ca17f9ec47b8.jpg', 'https://choxe.net/uploads/auto/201904/303671/936x624-gallery5ca17f9ec49ed.jpg', 'https://choxe.net/uploads/auto/201904/303671/936x624-gallery5ca17f9ec4c5e.jpg', 'https://choxe.net/uploads/auto/201904/303671/936x624-gallery5ca17f9ec4f1d.jpg']"
Xe Mới Hyundai Accent AT 2019,499 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,Sedan,2019,FWD: Cầu trước,Bạc,Trong nước,"['https://choxe.net/uploads/auto/201904/303665/936x624-gallery5ca16cf28403b.jpg', 'https://choxe.net/uploads/auto/201904/303665/936x624-gallery5ca16cf283420.jpg', 'https://choxe.net/uploads/auto/201904/303665/936x624-gallery5ca16cf2849e3.jpg', 'https://choxe.net/uploads/auto/201904/303665/936x624-gallery5ca16cf285da4.jpg', 'https://choxe.net/uploads/auto/201904/303665/936x624-gallery5ca16cf2854b7.jpg']"
Xe Mới Suzuki Ciaz AT 2018,499 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,Sedan,2018,FWD: Cầu trước,Đen,Nhập khẩu,"['https://choxe.net/uploads/auto/201903/303641/936x624-gallery5ca0bcfe36852.jpg', 'https://choxe.net/uploads/auto/201903/303641/936x624-gallery5ca0bcfe35e58.jpg', 'https://choxe.net/uploads/auto/201903/303641/936x624-gallery5ca0bbc86239b.jpg']"
Xe Mới KIA Morning S AT 2019,299 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,Hatchback,2019,FWD: Cầu trước,Xanh,Trong nước,"['https://choxe.net/uploads/auto/201903/303623/936x624-gallery5ca01aba23426.jpg', 'https://choxe.net/uploads/auto/201903/303623/936x624-gallery5ca01aba22d81.jpg', 'https://choxe.net/uploads/auto/201903/303623/936x624-gallery5ca01aba23093.jpg', 'https://choxe.net/uploads/auto/201903/303623/936x624-gallery5ca01aba237c5.jpg', 'https://choxe.net/uploads/auto/201903/303623/936x624-gallery5ca01aba23b11.jpg', 'https://choxe.net/uploads/auto/201903/303623/936x624-gallery5ca01aba23f7d.jpg']"
Xe Mới Toyota Vios 1.5E MT 2019,490 triệu,Mới,0 km,Số sàn,Xăng,Cá nhân,Sedan,2019,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.net/uploads/auto/201903/303553/936x624-gallery5c9f33ee3d633.jpg', 'https://choxe.net/uploads/auto/201903/303553/936x624-gallery5c9f33ee3d457.jpg', 'https://choxe.net/uploads/auto/201903/303553/936x624-gallery5c9f33ee3dc70.jpg', 'https://choxe.net/uploads/auto/201903/303553/936x624-gallery5c9f33ee3d79f.jpg', 'https://choxe.net/uploads/auto/201903/303553/936x624-gallery5c9f33ee3d8d7.jpg', 'https://choxe.net/uploads/auto/201903/303553/936x624-gallery5c9f33ee3da26.jpg', 'https://choxe.net/uploads/auto/201903/303553/936x624-gallery5c9f33ee3db4a.jpg']"
Xe Mới Toyota Vios 1.5G CVT 2019,606 triệu,Mới,0 km,Số tự động,Xăng,Cá nhân,Sedan,2019,FWD: Cầu trước,Bạc,Trong nước,"['https://choxe.net/uploads/auto/201903/303545/936x624-gallery5c9f1dbf68f1d.jpg', 'https://choxe.net/uploads/auto/201903/303545/936x624-gallery5c9f1dbf6c6b4.jpg', 'https://choxe.net/uploads/auto/201903/303545/936x624-gallery5c9f1dbf6eb5b.jpg', 'https://choxe.net/uploads/auto/201903/303545/936x624-gallery5c9f1dbf74a30.jpg', 'https://choxe.net/uploads/auto/201903/303545/936x624-gallery5c9f1dbf71763.jpg', 'https://choxe.net/uploads/auto/201903/303545/936x624-gallery5c9f1dbf78db6.jpg', 'https://choxe.net/uploads/auto/201903/303545/936x624-gallery5c9f1dbf78189.jpg', 'https://choxe.net/uploads/auto/201903/303545/936x624-gallery5c9f1dbf799ee.jpg']"
Xe Mới Nissan Sunny XL 2019,428 triệu,Mới,0 km,Số sàn,Xăng,Cá nhân,Sedan,2019,FWD: Cầu trước,Trắng,Trong nước,"['https://choxe.net/uploads/auto/201903/303490/936x624-gallery5c9e26b9cf500.jpg', 'https://choxe.net/uploads/auto/201903/303490/936x624-gallery5c9e26b9ceebf.jpg', 'https://choxe.net/uploads/auto/201903/303490/936x624-gallery5c9e26b9cf1f7.jpg', 'https://choxe.net/uploads/auto/201903/303490/936x624-gallery5c9e26b9cf07e.jpg', 'https://choxe.net/uploads/auto/201903/303490/936x624-gallery5c9e26b9cec57.jpg', 'https://choxe.net/uploads/auto/201903/303490/936x624-gallery5c9e26b9ced8a.jpg', 'https://choxe.net/uploads/auto/201903/303490/936x624-gallery5c9e26b9cea96.jpg']"
Xe Mới Ford Ranger Wildtrak 2019,616 triệu,Mới,10 km,Số tự động,Dầu,Cá nhân,Xe Bán tải,2019,4WD: 4 bánh,Cam,Nhập khẩu,"['https://choxe.net/uploads/auto/201903/303487/936x624-gallery5c9e0b64666ac.jpg', 'https://choxe.net/uploads/auto/201903/303487/936x624-gallery5c9e0b6464630.jpg', 'https://choxe.net/uploads/auto/201903/303487/936x624-gallery5c9e0b6466dfe.jpg', 'https://choxe.net/uploads/auto/201903/303487/936x624-gallery5c9e0b6463a18.jpg', 'https://choxe.net/uploads/auto/201903/303487/936x624-gallery5c9e0b6463ee9.jpg', 'https://choxe.net/uploads/auto/201903/303487/936x624-gallery5c9e0b6465891.jpg', 'https://choxe.net/uploads/auto/201903/303487/936x624-gallery5c9e0b6465f39.jpg', 'https://choxe.net/uploads/auto/201903/303487/936x624-gallery5c9e0b6464347.jpg', 'https://choxe.net/uploads/auto/201903/303487/936x624-gallery5c9e0b6463c80.jpg', 'https://choxe.net/uploads/auto/201903/303487/936x624-gallery5c9e0b6464e53.jpg', 'https://choxe.net/uploads/auto/201903/303487/936x624-gallery5c9e0b6465145.jpg', 'https://choxe.net/uploads/auto/201903/303487/936x624-gallery5c9e0b64640bb.jpg', 'https://choxe.net/uploads/auto/201903/303487/936x624-gallery5c9e0b64675f8.jpg']"
